Date,Open,High,Low,Close,Volume
7-Oct-16,0.86,0.86,0.86,0.86,817400
6-Oct-16,0.88,0.88,0.86,0.86,842400
5-Oct-16,0.89,0.89,0.88,0.88,978900
4-Oct-16,0.88,0.90,0.88,0.88,1939500
30-Sep-16,0.87,0.88,0.87,0.88,511500
29-Sep-16,0.89,0.90,0.87,0.88,977200
28-Sep-16,0.88,0.88,0.88,0.88,503600
27-Sep-16,0.88,0.88,0.87,0.88,207300
26-Sep-16,0.90,0.90,0.87,0.88,352400
23-Sep-16,0.87,0.91,0.87,0.90,2829400
22-Sep-16,0.86,0.87,0.86,0.87,947000
21-Sep-16,0.87,0.87,0.86,0.86,770700
20-Sep-16,0.86,0.86,0.86,0.86,888300
19-Sep-16,0.86,0.86,0.86,0.86,477400
15-Sep-16,0.88,0.88,0.86,0.87,640200
14-Sep-16,0.88,0.88,0.86,0.87,1809800
13-Sep-16,0.90,0.90,0.88,0.90,1415600
9-Sep-16,0.92,0.92,0.90,0.90,3075100
8-Sep-16,0.92,0.94,0.92,0.92,7055400
7-Sep-16,0.88,0.91,0.88,0.89,3699400
6-Sep-16,0.87,0.87,0.86,0.86,787700
5-Sep-16,0.84,0.87,0.83,0.87,674100
2-Sep-16,0.83,0.84,0.83,0.84,507000
1-Sep-16,0.84,0.84,0.81,0.83,934700
30-Aug-16,0.84,0.84,0.83,0.84,344900
29-Aug-16,0.84,0.84,0.83,0.84,286200
26-Aug-16,0.84,0.84,0.84,0.84,85900
25-Aug-16,0.85,0.85,0.84,0.84,873700
24-Aug-16,0.85,0.86,0.84,0.85,1032600
23-Aug-16,0.85,0.85,0.85,0.85,821500
22-Aug-16,0.86,0.86,0.85,0.85,810200
19-Aug-16,0.86,0.87,0.85,0.86,1598800
18-Aug-16,0.86,0.86,0.85,0.85,967300
17-Aug-16,0.86,0.86,0.85,0.85,1014600
16-Aug-16,0.86,0.87,0.86,0.86,697500
15-Aug-16,0.86,0.88,0.85,0.86,2484700
12-Aug-16,0.85,0.86,0.85,0.86,2848600
11-Aug-16,0.85,0.85,0.83,0.84,2278100
10-Aug-16,0.87,0.87,0.85,0.86,1868500
9-Aug-16,0.88,0.88,0.87,0.87,933900
8-Aug-16,0.88,0.90,0.86,0.88,3777500
5-Aug-16,0.88,0.89,0.87,0.88,6053500
4-Aug-16,0.86,0.88,0.86,0.87,4101700
3-Aug-16,0.90,0.90,0.86,0.86,1771400
2-Aug-16,0.88,0.93,0.87,0.90,7368400
1-Aug-16,0.77,0.88,0.77,0.87,8997100
29-Jul-16,0.76,0.77,0.76,0.76,816500
28-Jul-16,0.76,0.77,0.76,0.76,479400
27-Jul-16,0.75,0.77,0.75,0.77,1481100
26-Jul-16,0.75,0.76,0.74,0.76,1148400
25-Jul-16,0.76,0.77,0.75,0.76,1020900
22-Jul-16,0.74,0.76,0.74,0.74,660500
21-Jul-16,0.76,0.76,0.74,0.74,741300
20-Jul-16,0.78,0.78,0.77,0.78,1232200
19-Jul-16,0.75,0.78,0.75,0.76,1249300
18-Jul-16,0.74,0.76,0.74,0.74,1040600
15-Jul-16,0.74,0.74,0.73,0.74,625300
14-Jul-16,0.74,0.74,0.72,0.73,538600
13-Jul-16,0.73,0.74,0.73,0.74,2615700
12-Jul-16,0.72,0.73,0.72,0.72,3493200
11-Jul-16,0.71,0.72,0.70,0.70,1076500
8-Jul-16,0.68,0.68,0.67,0.68,223200
5-Jul-16,0.68,0.68,0.68,0.68,333500
4-Jul-16,0.69,0.70,0.67,0.67,352700
1-Jul-16,0.72,0.72,0.69,0.69,311300
30-Jun-16,0.69,0.71,0.69,0.71,1000600
29-Jun-16,0.68,0.68,0.67,0.68,230200
28-Jun-16,0.66,0.68,0.66,0.66,470200
27-Jun-16,0.66,0.68,0.66,0.66,261200
24-Jun-16,0.68,0.69,0.66,0.68,337300
23-Jun-16,0.68,0.69,0.68,0.68,337600
21-Jun-16,0.68,0.69,0.68,0.68,399300
20-Jun-16,0.67,0.69,0.67,0.68,179100
17-Jun-16,0.68,0.68,0.67,0.68,95800
16-Jun-16,0.68,0.68,0.66,0.68,310200
15-Jun-16,0.68,0.68,0.67,0.68,323900
14-Jun-16,0.69,0.70,0.68,0.68,305400
13-Jun-16,0.71,0.71,0.68,0.70,356400
10-Jun-16,0.72,0.72,0.71,0.72,370200
9-Jun-16,0.71,0.73,0.70,0.72,947200
8-Jun-16,0.69,0.70,0.68,0.70,696000
7-Jun-16,0.66,0.68,0.66,0.68,583600
6-Jun-16,0.66,0.66,0.65,0.66,370100
3-Jun-16,0.65,0.66,0.65,0.66,601200
2-Jun-16,0.64,0.66,0.64,0.65,1623300
1-Jun-16,0.64,0.64,0.64,0.64,1592500
31-May-16,0.68,0.68,0.64,0.64,3121700
30-May-16,0.70,0.70,0.68,0.68,368100
27-May-16,0.70,0.70,0.70,0.70,433800
26-May-16,0.70,0.72,0.70,0.70,798500
25-May-16,0.72,0.72,0.70,0.70,427000
24-May-16,0.72,0.72,0.72,0.72,618300
23-May-16,0.72,0.73,0.72,0.72,170900
20-May-16,0.73,0.73,0.72,0.72,270700
19-May-16,0.74,0.74,0.72,0.72,283300
18-May-16,0.74,0.75,0.72,0.74,216500
17-May-16,0.73,0.74,0.73,0.74,350800
16-May-16,0.74,0.74,0.72,0.72,468000
13-May-16,0.74,0.74,0.74,0.74,354000
12-May-16,0.75,0.77,0.74,0.74,488700
11-May-16,0.76,0.76,0.74,0.74,196100
10-May-16,0.76,0.76,0.75,0.75,113800
9-May-16,0.76,0.76,0.76,0.76,182600
6-May-16,0.77,0.77,0.76,0.76,152900
5-May-16,0.74,0.78,0.74,0.77,622300
4-May-16,0.74,0.76,0.74,0.74,599100
3-May-16,0.76,0.76,0.74,0.74,874400
29-Apr-16,0.76,0.77,0.76,0.76,214700
28-Apr-16,0.79,0.80,0.76,0.78,590700
27-Apr-16,0.78,0.79,0.78,0.78,922700
26-Apr-16,0.80,0.80,0.78,0.78,1253600
25-Apr-16,0.80,0.81,0.80,0.80,236600
22-Apr-16,0.82,0.82,0.80,0.82,1024600
21-Apr-16,0.80,0.84,0.80,0.82,4234100
20-Apr-16,0.80,0.82,0.79,0.80,2444700
19-Apr-16,0.80,0.81,0.79,0.80,1376100
18-Apr-16,0.80,0.80,0.78,0.80,1324500
15-Apr-16,0.84,0.84,0.80,0.81,1411100
14-Apr-16,0.80,0.86,0.80,0.83,9085100
13-Apr-16,0.76,0.80,0.76,0.79,3472400
12-Apr-16,0.74,0.76,0.74,0.76,397100
11-Apr-16,0.75,0.75,0.74,0.74,124500
8-Apr-16,0.74,0.75,0.74,0.74,154500
7-Apr-16,0.74,0.75,0.74,0.74,321800
6-Apr-16,0.74,0.74,0.73,0.74,596800
5-Apr-16,0.74,0.74,0.73,0.74,319100
4-Apr-16,0.74,0.74,0.74,0.74,237300
1-Apr-16,0.74,0.75,0.74,0.74,402400
31-Mar-16,0.74,0.75,0.74,0.74,548300
30-Mar-16,0.76,0.76,0.74,0.74,550600
29-Mar-16,0.76,0.77,0.76,0.76,157000
28-Mar-16,0.77,0.78,0.76,0.76,290700
25-Mar-16,0.77,0.77,0.76,0.77,636100
24-Mar-16,0.76,0.79,0.76,0.76,2572500
23-Mar-16,0.76,0.76,0.75,0.75,500700
22-Mar-16,0.78,0.78,0.76,0.76,721600
21-Mar-16,0.76,0.78,0.75,0.77,2654100
18-Mar-16,0.73,0.77,0.73,0.75,5380100
17-Mar-16,0.72,0.74,0.72,0.72,1254500
16-Mar-16,0.72,0.74,0.72,0.72,735300
15-Mar-16,0.72,0.72,0.72,0.72,212000
14-Mar-16,0.74,0.74,0.72,0.72,941300
11-Mar-16,0.74,0.74,0.73,0.73,319400
10-Mar-16,0.76,0.76,0.75,0.75,680700
9-Mar-16,0.75,0.76,0.74,0.75,447000
8-Mar-16,0.76,0.77,0.74,0.74,917400
