Date,Open,High,Low,Close,Volume
7-Oct-16,0.92,0.92,0.92,0.92,41300
6-Oct-16,0.93,0.93,0.92,0.93,136200
5-Oct-16,0.92,0.93,0.92,0.93,1214600
4-Oct-16,0.90,0.91,0.90,0.91,445300
30-Sep-16,0.90,0.90,0.90,0.90,342900
29-Sep-16,0.90,0.90,0.90,0.90,47900
28-Sep-16,0.90,0.90,0.89,0.89,15500
27-Sep-16,0.90,0.90,0.89,0.90,54000
26-Sep-16,0.90,0.90,0.90,0.90,68000
23-Sep-16,0.90,0.90,0.90,0.90,172300
22-Sep-16,0.90,0.90,0.90,0.90,124000
21-Sep-16,0.90,0.90,0.90,0.90,274600
20-Sep-16,0.91,0.91,0.90,0.90,209000
19-Sep-16,0.91,0.91,0.91,0.91,352200
15-Sep-16,0.92,0.92,0.91,0.91,24000
14-Sep-16,0.91,0.92,0.90,0.92,750200
13-Sep-16,0.92,0.92,0.90,0.90,496500
9-Sep-16,0.92,0.92,0.92,0.92,96400
8-Sep-16,0.92,0.92,0.92,0.92,77000
7-Sep-16,0.92,0.92,0.92,0.92,10000
6-Sep-16,0.92,0.92,0.92,0.92,52700
5-Sep-16,0.92,0.92,0.92,0.92,101500
2-Sep-16,0.92,0.92,0.92,0.92,172300
1-Sep-16,0.92,0.92,0.92,0.92,110000
30-Aug-16,0.92,0.92,0.92,0.92,212600
29-Aug-16,0.92,0.92,0.92,0.92,265900
26-Aug-16,0.92,0.92,0.92,0.92,322500
25-Aug-16,0.91,0.92,0.91,0.92,57000
24-Aug-16,0.92,0.92,0.92,0.92,105500
23-Aug-16,0.92,0.92,0.91,0.92,234100
22-Aug-16,0.92,0.92,0.92,0.92,95600
19-Aug-16,0.92,0.92,0.92,0.92,366000
18-Aug-16,0.92,0.93,0.92,0.93,186000
17-Aug-16,0.92,0.92,0.92,0.92,163000
16-Aug-16,0.92,0.93,0.92,0.92,229900
15-Aug-16,0.92,0.92,0.90,0.92,590700
12-Aug-16,0.93,0.94,0.92,0.92,358000
11-Aug-16,0.94,0.94,0.94,0.94,186800
10-Aug-16,0.94,0.94,0.94,0.94,181300
9-Aug-16,0.94,0.94,0.94,0.94,144600
8-Aug-16,0.93,0.94,0.93,0.94,90500
5-Aug-16,0.92,0.93,0.92,0.92,147500
4-Aug-16,0.92,0.92,0.92,0.92,22100
3-Aug-16,0.92,0.92,0.92,0.92,33000
2-Aug-16,0.92,0.92,0.91,0.92,360200
1-Aug-16,0.92,0.92,0.92,0.92,298700
