Date,Open,High,Low,Close,Volume
7-Oct-16,1.97,1.98,1.96,1.96,65900
6-Oct-16,1.97,1.97,1.97,1.97,75000
5-Oct-16,1.96,1.97,1.96,1.97,32700
4-Oct-16,1.97,1.97,1.96,1.97,40500
30-Sep-16,1.97,1.97,1.96,1.96,55200
29-Sep-16,1.98,1.98,1.97,1.97,13000
28-Sep-16,1.97,1.98,1.97,1.98,30200
27-Sep-16,1.98,1.98,1.96,1.96,24800
26-Sep-16,1.99,2.00,1.97,1.97,802600
23-Sep-16,1.97,1.99,1.97,1.99,36000
22-Sep-16,1.98,2.00,1.98,1.99,8400
21-Sep-16,1.98,1.99,1.98,1.98,28500
20-Sep-16,1.98,1.99,1.97,1.98,143800
19-Sep-16,2.00,2.00,1.98,1.98,39800
15-Sep-16,1.99,2.00,1.99,1.99,62200
14-Sep-16,1.99,2.00,1.98,1.99,48000
13-Sep-16,2.00,2.01,2.00,2.01,79500
9-Sep-16,2.01,2.02,2.01,2.01,17500
8-Sep-16,2.02,2.03,2.02,2.03,55300
7-Sep-16,2.03,2.03,2.01,2.01,94000
6-Sep-16,2.01,2.05,2.01,2.01,112900
5-Sep-16,2.00,2.01,2.00,2.00,111800
2-Sep-16,2.03,2.03,2.00,2.00,169800
1-Sep-16,2.04,2.04,2.02,2.02,23000
30-Aug-16,2.02,2.06,2.02,2.06,58000
29-Aug-16,2.00,2.03,2.00,2.02,51600
26-Aug-16,2.02,2.02,2.00,2.00,327500
25-Aug-16,2.05,2.05,2.02,2.05,159800
24-Aug-16,2.06,2.07,2.04,2.07,17000
23-Aug-16,2.06,2.08,2.05,2.08,56700
22-Aug-16,2.06,2.07,2.04,2.06,88500
19-Aug-16,2.06,2.06,2.03,2.06,116400
18-Aug-16,2.05,2.06,2.03,2.06,99500
17-Aug-16,2.01,2.04,2.01,2.03,76400
16-Aug-16,2.05,2.05,2.01,2.01,217400
15-Aug-16,2.05,2.05,2.02,2.02,14000
12-Aug-16,2.03,2.03,2.01,2.01,80000
11-Aug-16,2.02,2.04,2.01,2.04,30900
10-Aug-16,2.01,2.02,2.01,2.02,43300
9-Aug-16,2.01,2.01,2.01,2.01,116800
8-Aug-16,2.02,2.02,2.01,2.01,28500
5-Aug-16,2.01,2.02,2.01,2.02,77800
4-Aug-16,2.05,2.05,2.03,2.03,28200
3-Aug-16,2.00,2.03,2.00,2.03,42500
2-Aug-16,2.06,2.06,1.99,2.00,247400
1-Aug-16,2.05,2.05,2.05,2.05,28800
29-Jul-16,2.04,2.05,2.04,2.05,53200
28-Jul-16,2.06,2.06,2.05,2.05,51000
27-Jul-16,2.04,2.06,2.04,2.06,24500
26-Jul-16,2.04,2.04,2.04,2.04,53200
25-Jul-16,2.03,2.04,2.03,2.03,29500
