Date,Open,High,Low,Close,Volume
7-Oct-16,0.70,0.74,0.70,0.74,1516800
6-Oct-16,0.70,0.70,0.70,0.70,118000
5-Oct-16,0.71,0.71,0.70,0.70,190000
4-Oct-16,0.70,0.72,0.70,0.71,643200
30-Sep-16,0.71,0.71,0.69,0.69,432900
29-Sep-16,0.72,0.72,0.70,0.70,150100
28-Sep-16,0.72,0.72,0.71,0.72,249200
27-Sep-16,0.69,0.72,0.69,0.72,1134600
26-Sep-16,0.68,0.68,0.68,0.68,515800
23-Sep-16,0.68,0.68,0.68,0.68,309500
22-Sep-16,0.66,0.69,0.66,0.68,880900
21-Sep-16,0.64,0.64,0.64,0.64,30000
20-Sep-16,0.64,0.65,0.64,0.65,41100
19-Sep-16,0.66,0.66,0.64,0.65,183000
15-Sep-16,0.64,0.67,0.64,0.66,190100
14-Sep-16,0.64,0.64,0.64,0.64,85500
13-Sep-16,0.64,0.64,0.64,0.64,32000
9-Sep-16,0.65,0.65,0.64,0.64,86200
8-Sep-16,0.64,0.65,0.64,0.65,83200
7-Sep-16,0.65,0.65,0.65,0.65,51000
6-Sep-16,0.65,0.65,0.65,0.65,62500
5-Sep-16,0.64,0.66,0.64,0.66,42000
2-Sep-16,0.64,0.64,0.64,0.64,85000
1-Sep-16,0.65,0.65,0.64,0.64,114100
30-Aug-16,0.66,0.66,0.64,0.64,50000
29-Aug-16,0.65,0.65,0.65,0.65,5000
26-Aug-16,0.66,0.66,0.65,0.65,93000
25-Aug-16,0.66,0.66,0.65,0.66,490200
24-Aug-16,0.64,0.64,0.64,0.64,54000
23-Aug-16,0.64,0.64,0.64,0.64,5400
22-Aug-16,0.65,0.65,0.64,0.64,120000
19-Aug-16,0.64,0.64,0.64,0.64,64000
18-Aug-16,0.64,0.64,0.64,0.64,99000
17-Aug-16,0.64,0.64,0.64,0.64,220500
16-Aug-16,0.64,0.64,0.63,0.64,496600
15-Aug-16,0.64,0.64,0.64,0.64,237500
12-Aug-16,0.64,0.64,0.64,0.64,36000
11-Aug-16,0.64,0.64,0.64,0.64,28000
10-Aug-16,0.64,0.65,0.64,0.65,50000
9-Aug-16,0.64,0.64,0.64,0.64,32000
8-Aug-16,0.64,0.64,0.64,0.64,101000
5-Aug-16,0.64,0.64,0.64,0.64,54600
4-Aug-16,0.64,0.64,0.64,0.64,29000
3-Aug-16,0.64,0.64,0.64,0.64,6500
2-Aug-16,0.65,0.65,0.64,0.64,14000
1-Aug-16,0.64,0.64,0.64,0.64,26500
29-Jul-16,0.64,0.64,0.64,0.64,18000
28-Jul-16,0.64,0.64,0.64,0.64,24100
27-Jul-16,0.64,0.64,0.64,0.64,15000
26-Jul-16,0.64,0.64,0.64,0.64,130000
25-Jul-16,0.64,0.64,0.64,0.64,58000
22-Jul-16,0.64,0.64,0.64,0.64,10000
21-Jul-16,0.64,0.65,0.64,0.65,40000
20-Jul-16,0.64,0.64,0.64,0.64,20000
19-Jul-16,0.65,0.65,0.64,0.64,92300
18-Jul-16,0.64,0.65,0.64,0.65,68000
15-Jul-16,0.65,0.65,0.64,0.64,26600
14-Jul-16,-,-,-,0.64,0
13-Jul-16,0.64,0.64,0.64,0.64,15000
12-Jul-16,0.64,0.64,0.64,0.64,37200
11-Jul-16,0.64,0.64,0.64,0.64,2000
8-Jul-16,-,-,-,0.64,0
5-Jul-16,0.64,0.64,0.64,0.64,10000
4-Jul-16,0.64,0.64,0.64,0.64,7000
1-Jul-16,-,-,-,0.65,0
30-Jun-16,0.64,0.65,0.64,0.65,12000
29-Jun-16,0.64,0.66,0.64,0.65,92700
28-Jun-16,0.64,0.65,0.64,0.65,64000
27-Jun-16,0.64,0.64,0.62,0.64,162000
24-Jun-16,0.65,0.65,0.62,0.64,138500
23-Jun-16,0.64,0.64,0.64,0.64,56000
21-Jun-16,0.64,0.64,0.64,0.64,60000
20-Jun-16,-,-,-,0.64,0
17-Jun-16,0.64,0.64,0.64,0.64,70000
16-Jun-16,0.64,0.64,0.64,0.64,97700
15-Jun-16,0.64,0.64,0.64,0.64,31000
14-Jun-16,0.64,0.64,0.64,0.64,89000
13-Jun-16,0.64,0.64,0.64,0.64,32800
10-Jun-16,0.66,0.66,0.64,0.64,79000
9-Jun-16,0.66,0.66,0.65,0.66,61000
8-Jun-16,0.66,0.66,0.66,0.66,5000
7-Jun-16,0.65,0.66,0.65,0.66,89500
6-Jun-16,0.65,0.66,0.65,0.66,130500
3-Jun-16,0.64,0.64,0.64,0.64,27000
2-Jun-16,0.64,0.64,0.64,0.64,50000
1-Jun-16,0.63,0.65,0.63,0.65,110000
31-May-16,0.63,0.63,0.63,0.63,125900
30-May-16,0.63,0.64,0.63,0.64,39300
27-May-16,0.64,0.64,0.62,0.63,338700
26-May-16,0.64,0.65,0.62,0.63,506900
25-May-16,0.66,0.66,0.64,0.64,297500
24-May-16,0.66,0.66,0.65,0.65,281600
23-May-16,0.65,0.66,0.65,0.66,33000
20-May-16,0.65,0.66,0.65,0.65,57800
19-May-16,0.66,0.66,0.65,0.65,50400
18-May-16,0.66,0.66,0.65,0.65,246900
17-May-16,0.66,0.66,0.66,0.66,85800
16-May-16,0.66,0.66,0.66,0.66,156300
13-May-16,0.68,0.68,0.66,0.66,210500
12-May-16,0.68,0.68,0.66,0.66,90000
11-May-16,0.68,0.68,0.68,0.68,355600
10-May-16,0.68,0.68,0.68,0.68,210700
9-May-16,0.68,0.68,0.68,0.68,356000
6-May-16,0.66,0.68,0.66,0.68,442000
5-May-16,0.66,0.66,0.66,0.66,225600
4-May-16,0.66,0.66,0.66,0.66,542000
3-May-16,0.67,0.68,0.66,0.66,1679300
29-Apr-16,0.68,0.68,0.66,0.66,1220900
28-Apr-16,0.70,0.70,0.66,0.68,2858400
27-Apr-16,0.72,0.72,0.71,0.72,132300
26-Apr-16,0.71,0.72,0.70,0.71,396300
25-Apr-16,0.74,0.74,0.70,0.70,1677400
22-Apr-16,0.74,0.74,0.74,0.74,144800
21-Apr-16,0.73,0.74,0.73,0.74,264000
20-Apr-16,0.74,0.74,0.73,0.73,244100
19-Apr-16,0.74,0.75,0.74,0.74,388200
18-Apr-16,0.75,0.76,0.74,0.74,577500
15-Apr-16,0.74,0.76,0.74,0.74,808000
14-Apr-16,0.75,0.75,0.74,0.74,184700
13-Apr-16,0.76,0.76,0.74,0.75,206700
12-Apr-16,0.77,0.77,0.75,0.76,742100
11-Apr-16,0.72,0.78,0.72,0.78,1132700
8-Apr-16,0.72,0.72,0.72,0.72,91400
7-Apr-16,0.72,0.72,0.72,0.72,55000
6-Apr-16,0.73,0.74,0.72,0.72,65700
5-Apr-16,0.72,0.74,0.72,0.72,368700
4-Apr-16,0.71,0.72,0.71,0.72,235100
1-Apr-16,0.70,0.70,0.70,0.70,38000
31-Mar-16,0.70,0.70,0.70,0.70,30000
30-Mar-16,0.70,0.70,0.70,0.70,58000
29-Mar-16,0.70,0.70,0.70,0.70,39000
28-Mar-16,0.70,0.70,0.70,0.70,21000
25-Mar-16,0.70,0.70,0.70,0.70,15000
24-Mar-16,0.70,0.70,0.70,0.70,15200
23-Mar-16,0.70,0.70,0.70,0.70,99500
22-Mar-16,0.70,0.70,0.69,0.70,94700
21-Mar-16,0.71,0.71,0.70,0.70,49000
18-Mar-16,0.71,0.71,0.70,0.70,43100
17-Mar-16,0.70,0.70,0.70,0.70,62900
16-Mar-16,0.70,0.70,0.70,0.70,62000
15-Mar-16,0.70,0.70,0.70,0.70,55500
14-Mar-16,0.70,0.70,0.70,0.70,31500
11-Mar-16,0.70,0.70,0.70,0.70,41000
10-Mar-16,-,-,-,0.70,0
9-Mar-16,0.70,0.70,0.69,0.70,89200
