Date,Open,High,Low,Close,Volume
7-Oct-16,0.70,0.72,0.70,0.71,933900
6-Oct-16,0.70,0.70,0.70,0.70,241000
5-Oct-16,0.70,0.70,0.70,0.70,397500
4-Oct-16,0.71,0.71,0.70,0.70,196000
30-Sep-16,0.71,0.71,0.70,0.70,296500
29-Sep-16,0.70,0.71,0.70,0.71,133900
28-Sep-16,0.69,0.71,0.69,0.71,360100
27-Sep-16,0.70,0.70,0.70,0.70,392400
26-Sep-16,0.71,0.71,0.70,0.70,81700
23-Sep-16,0.70,0.71,0.70,0.71,119900
22-Sep-16,0.70,0.70,0.70,0.70,223600
21-Sep-16,0.70,0.70,0.70,0.70,412000
20-Sep-16,0.70,0.71,0.70,0.70,248600
19-Sep-16,0.71,0.72,0.70,0.71,173000
15-Sep-16,0.71,0.72,0.71,0.72,862100
14-Sep-16,0.70,0.71,0.70,0.70,75900
13-Sep-16,0.71,0.71,0.70,0.70,256900
9-Sep-16,0.72,0.72,0.71,0.72,156300
8-Sep-16,0.71,0.72,0.71,0.71,214400
7-Sep-16,0.72,0.72,0.71,0.71,140700
6-Sep-16,0.71,0.74,0.71,0.72,761400
5-Sep-16,0.72,0.72,0.70,0.72,375000
2-Sep-16,0.72,0.73,0.72,0.72,251400
1-Sep-16,0.74,0.74,0.71,0.72,523300
30-Aug-16,0.70,0.74,0.70,0.74,1574600
29-Aug-16,0.68,0.70,0.68,0.70,741300
26-Aug-16,0.70,0.70,0.68,0.69,536500
25-Aug-16,0.65,0.72,0.65,0.69,2357800
24-Aug-16,0.68,0.68,0.65,0.65,657900
23-Aug-16,0.70,0.70,0.65,0.66,1773700
22-Aug-16,0.65,0.71,0.65,0.70,968200
19-Aug-16,0.66,0.66,0.64,0.64,255000
18-Aug-16,0.66,0.66,0.66,0.66,53100
17-Aug-16,0.66,0.66,0.66,0.66,334500
16-Aug-16,0.67,0.67,0.66,0.66,351000
15-Aug-16,0.65,0.68,0.65,0.67,719000
12-Aug-16,0.64,0.65,0.64,0.64,221100
11-Aug-16,0.62,0.64,0.62,0.64,330000
10-Aug-16,0.63,0.64,0.62,0.64,143000
9-Aug-16,0.64,0.64,0.63,0.64,401300
8-Aug-16,0.66,0.66,0.63,0.63,555100
5-Aug-16,0.62,0.66,0.62,0.66,2213000
4-Aug-16,0.60,0.62,0.60,0.62,387500
3-Aug-16,0.60,0.60,0.60,0.60,10000
2-Aug-16,0.61,0.61,0.60,0.60,93000
1-Aug-16,0.60,0.61,0.60,0.61,604900
29-Jul-16,0.59,0.59,0.59,0.59,17000
28-Jul-16,0.60,0.60,0.60,0.60,140000
27-Jul-16,0.58,0.60,0.58,0.60,129300
26-Jul-16,0.58,0.59,0.58,0.58,116000
25-Jul-16,0.57,0.57,0.57,0.57,2000
22-Jul-16,-,-,-,0.57,0
21-Jul-16,0.58,0.59,0.57,0.57,170000
20-Jul-16,0.60,0.60,0.58,0.58,203600
19-Jul-16,0.60,0.60,0.60,0.60,50500
18-Jul-16,0.59,0.59,0.58,0.59,108000
15-Jul-16,0.60,0.60,0.59,0.60,81000
14-Jul-16,0.58,0.61,0.58,0.60,577800
13-Jul-16,0.56,0.58,0.56,0.58,126000
12-Jul-16,0.56,0.56,0.56,0.56,61500
11-Jul-16,0.55,0.56,0.55,0.55,194500
8-Jul-16,0.56,0.56,0.54,0.54,136000
5-Jul-16,0.56,0.56,0.53,0.54,164000
4-Jul-16,0.56,0.56,0.55,0.56,285000
1-Jul-16,0.56,0.56,0.56,0.56,144000
30-Jun-16,0.57,0.57,0.56,0.56,361800
29-Jun-16,0.58,0.58,0.56,0.58,182000
28-Jun-16,0.58,0.58,0.57,0.58,361200
27-Jun-16,0.57,0.58,0.56,0.58,87000
24-Jun-16,0.58,0.59,0.56,0.58,967000
23-Jun-16,0.60,0.61,0.58,0.59,423800
21-Jun-16,0.58,0.60,0.58,0.60,709700
20-Jun-16,0.58,0.58,0.58,0.58,220600
17-Jun-16,0.59,0.59,0.58,0.58,232200
16-Jun-16,0.60,0.60,0.58,0.59,1039900
15-Jun-16,0.58,0.60,0.58,0.60,698800
14-Jun-16,0.57,0.59,0.56,0.57,664500
13-Jun-16,0.58,0.58,0.57,0.57,415000
10-Jun-16,0.58,0.61,0.58,0.58,1093900
9-Jun-16,0.60,0.60,0.58,0.58,849500
8-Jun-16,0.61,0.61,0.60,0.60,420600
7-Jun-16,0.62,0.65,0.61,0.61,1379200
6-Jun-16,0.58,0.62,0.58,0.62,1633100
3-Jun-16,0.57,0.58,0.56,0.58,1033500
2-Jun-16,0.56,0.58,0.55,0.56,966100
1-Jun-16,0.56,0.56,0.55,0.56,98300
31-May-16,0.56,0.56,0.56,0.56,290900
30-May-16,0.56,0.64,0.53,0.56,976900
27-May-16,0.50,0.58,0.50,0.56,1006600
26-May-16,-,-,-,0.52,0
25-May-16,0.50,0.52,0.50,0.52,16300
24-May-16,0.51,0.51,0.51,0.51,100
23-May-16,-,-,-,0.50,0
20-May-16,-,-,-,0.50,0
19-May-16,0.50,0.50,0.50,0.50,6000
18-May-16,0.50,0.51,0.50,0.51,24900
17-May-16,0.50,0.52,0.50,0.52,41100
16-May-16,0.50,0.50,0.50,0.50,11000
13-May-16,0.50,0.51,0.50,0.51,61100
12-May-16,0.50,0.51,0.50,0.51,25100
11-May-16,-,-,-,0.51,0
10-May-16,-,-,-,0.51,0
9-May-16,-,-,-,0.51,0
6-May-16,0.50,0.51,0.50,0.51,10100
5-May-16,-,-,-,0.52,0
4-May-16,-,-,-,0.52,0
3-May-16,-,-,-,0.52,0
29-Apr-16,-,-,-,0.52,0
28-Apr-16,-,-,-,0.52,0
27-Apr-16,0.51,0.52,0.50,0.52,35500
26-Apr-16,-,-,-,0.51,0
25-Apr-16,-,-,-,0.51,0
22-Apr-16,-,-,-,0.51,0
21-Apr-16,-,-,-,0.51,0
20-Apr-16,0.50,0.51,0.50,0.51,15100
19-Apr-16,0.50,0.52,0.50,0.52,600
18-Apr-16,0.52,0.53,0.52,0.53,1300
15-Apr-16,-,-,-,0.52,0
14-Apr-16,0.51,0.52,0.51,0.52,12100
13-Apr-16,0.50,0.52,0.50,0.52,27600
12-Apr-16,0.52,0.52,0.51,0.52,64500
11-Apr-16,0.52,0.52,0.51,0.52,73300
8-Apr-16,0.51,0.52,0.51,0.52,76200
7-Apr-16,0.50,0.52,0.50,0.52,121800
6-Apr-16,-,-,-,0.53,0
5-Apr-16,-,-,-,0.53,0
4-Apr-16,0.51,0.53,0.50,0.53,424000
1-Apr-16,0.52,0.52,0.50,0.52,110200
31-Mar-16,0.50,0.52,0.50,0.52,79200
30-Mar-16,0.50,0.50,0.50,0.50,25100
29-Mar-16,0.49,0.52,0.49,0.50,58900
28-Mar-16,0.52,0.52,0.52,0.52,5000
25-Mar-16,0.50,0.52,0.50,0.52,2100
24-Mar-16,0.50,0.52,0.50,0.52,32600
23-Mar-16,0.49,0.50,0.49,0.50,900
22-Mar-16,0.50,0.52,0.50,0.52,2800
21-Mar-16,0.50,0.53,0.50,0.51,15200
18-Mar-16,0.49,0.53,0.49,0.53,1000
17-Mar-16,0.50,0.54,0.49,0.54,13100
16-Mar-16,0.50,0.50,0.50,0.50,15000
15-Mar-16,0.50,0.50,0.50,0.50,29200
14-Mar-16,0.53,0.54,0.50,0.52,102000
11-Mar-16,0.51,0.51,0.50,0.50,34000
10-Mar-16,0.50,0.50,0.50,0.50,8800
9-Mar-16,0.50,0.52,0.50,0.52,13700
8-Mar-16,0.51,0.52,0.50,0.52,120200
7-Mar-16,0.51,0.52,0.51,0.52,10100
4-Mar-16,0.50,0.52,0.50,0.52,166200
3-Mar-16,0.50,0.52,0.50,0.50,24900
2-Mar-16,0.52,0.52,0.50,0.50,118100
1-Mar-16,-,-,-,0.54,0
29-Feb-16,-,-,-,0.54,0
26-Feb-16,0.50,0.54,0.50,0.54,95100
25-Feb-16,0.51,0.51,0.51,0.51,10000
24-Feb-16,0.52,0.52,0.51,0.52,34200
23-Feb-16,0.52,0.52,0.51,0.52,29000
