Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.56,0
6-Oct-16,0.50,0.56,0.50,0.56,2700
5-Oct-16,-,-,-,0.56,0
4-Oct-16,-,-,-,0.56,0
30-Sep-16,-,-,-,0.56,0
29-Sep-16,-,-,-,0.56,0
28-Sep-16,-,-,-,0.56,0
27-Sep-16,-,-,-,0.56,0
26-Sep-16,-,-,-,0.56,0
23-Sep-16,-,-,-,0.56,0
22-Sep-16,0.56,0.56,0.56,0.56,300
21-Sep-16,-,-,-,0.52,0
20-Sep-16,-,-,-,0.52,0
19-Sep-16,-,-,-,0.52,0
15-Sep-16,0.52,0.52,0.52,0.52,100
14-Sep-16,0.51,0.51,0.51,0.51,10000
13-Sep-16,0.50,0.52,0.50,0.52,13100
9-Sep-16,0.50,0.50,0.50,0.50,1000
8-Sep-16,-,-,-,0.51,0
7-Sep-16,0.51,0.51,0.51,0.51,8000
6-Sep-16,0.51,0.51,0.51,0.51,5100
5-Sep-16,-,-,-,0.51,0
2-Sep-16,0.49,0.51,0.48,0.51,3900
1-Sep-16,0.49,0.51,0.49,0.51,3100
30-Aug-16,0.49,0.51,0.49,0.51,17200
29-Aug-16,0.50,0.50,0.49,0.49,23500
26-Aug-16,0.50,0.50,0.50,0.50,2900
25-Aug-16,0.50,0.52,0.50,0.50,20100
24-Aug-16,0.52,0.52,0.51,0.52,40000
23-Aug-16,0.53,0.54,0.52,0.54,45100
22-Aug-16,-,-,-,0.56,0
19-Aug-16,0.60,0.60,0.54,0.56,100700
18-Aug-16,0.56,0.58,0.56,0.58,58000
17-Aug-16,0.60,0.60,0.54,0.55,20900
16-Aug-16,0.54,0.56,0.54,0.55,67100
15-Aug-16,0.54,0.54,0.54,0.54,25200
12-Aug-16,0.52,0.54,0.51,0.54,46300
11-Aug-16,0.51,0.53,0.51,0.53,10100
10-Aug-16,0.52,0.54,0.52,0.52,17100
9-Aug-16,0.52,0.54,0.52,0.54,15200
8-Aug-16,0.51,0.55,0.51,0.55,54700
5-Aug-16,-,-,-,0.54,0
4-Aug-16,-,-,-,0.54,0
3-Aug-16,-,-,-,0.54,0
2-Aug-16,-,-,-,0.54,0
1-Aug-16,0.54,0.54,0.54,0.54,40000
29-Jul-16,0.54,0.54,0.54,0.54,1000
