Date,Open,High,Low,Close,Volume
7-Oct-16,0.10,0.10,0.09,0.10,403100
6-Oct-16,0.10,0.10,0.10,0.10,327000
5-Oct-16,0.09,0.10,0.09,0.10,506200
4-Oct-16,0.08,0.09,0.08,0.09,1691200
30-Sep-16,-,-,-,0.08,0
29-Sep-16,0.09,0.09,0.08,0.08,152000
28-Sep-16,0.09,0.09,0.08,0.08,86200
27-Sep-16,0.09,0.09,0.08,0.08,368400
26-Sep-16,0.08,0.10,0.08,0.09,632800
23-Sep-16,0.10,0.10,0.08,0.08,497300
22-Sep-16,0.10,0.10,0.09,0.09,635600
21-Sep-16,0.10,0.10,0.09,0.10,764200
20-Sep-16,0.10,0.10,0.09,0.09,525800
19-Sep-16,0.10,0.10,0.10,0.10,411200
15-Sep-16,0.10,0.10,0.10,0.10,177300
14-Sep-16,0.10,0.10,0.10,0.10,541500
13-Sep-16,0.10,0.10,0.10,0.10,1045100
9-Sep-16,0.10,0.11,0.10,0.10,717500
8-Sep-16,0.10,0.11,0.10,0.10,558500
7-Sep-16,0.11,0.11,0.10,0.10,519500
6-Sep-16,0.11,0.11,0.10,0.11,596300
5-Sep-16,0.11,0.11,0.10,0.10,366400
2-Sep-16,0.12,0.12,0.11,0.12,844900
1-Sep-16,0.12,0.12,0.11,0.12,2996400
30-Aug-16,0.15,0.16,0.15,0.16,772200
29-Aug-16,0.16,0.16,0.15,0.16,198000
26-Aug-16,0.16,0.16,0.16,0.16,473100
25-Aug-16,0.16,0.16,0.16,0.16,443200
24-Aug-16,0.16,0.16,0.15,0.16,732200
23-Aug-16,0.17,0.17,0.16,0.16,1174700
22-Aug-16,0.18,0.18,0.17,0.17,1500700
19-Aug-16,0.17,0.18,0.17,0.18,223900
18-Aug-16,0.18,0.18,0.17,0.17,435500
17-Aug-16,0.18,0.18,0.17,0.18,840900
16-Aug-16,0.17,0.18,0.17,0.18,2235400
15-Aug-16,0.16,0.17,0.16,0.17,1159300
12-Aug-16,0.15,0.16,0.15,0.16,638700
11-Aug-16,0.15,0.15,0.14,0.15,1055800
10-Aug-16,0.14,0.15,0.14,0.14,1380500
9-Aug-16,0.13,0.14,0.13,0.14,1675300
8-Aug-16,0.12,0.14,0.12,0.14,1504400
5-Aug-16,0.12,0.13,0.12,0.12,3229200
4-Aug-16,0.13,0.13,0.12,0.12,752800
3-Aug-16,0.13,0.14,0.12,0.13,1185900
2-Aug-16,0.12,0.13,0.12,0.12,1103300
1-Aug-16,0.14,0.15,0.12,0.12,21492200
29-Jul-16,0.15,0.15,0.14,0.14,2199300
28-Jul-16,0.16,0.16,0.15,0.16,1260100
27-Jul-16,0.16,0.18,0.16,0.16,5564400
26-Jul-16,0.17,0.18,0.16,0.17,9086100
25-Jul-16,0.17,0.18,0.16,0.17,2662300
22-Jul-16,0.18,0.18,0.17,0.17,1989700
21-Jul-16,0.18,0.19,0.18,0.18,5037700
20-Jul-16,0.18,0.19,0.18,0.18,19697400
19-Jul-16,0.19,0.20,0.18,0.18,2855000
18-Jul-16,0.20,0.20,0.18,0.19,9100900
15-Jul-16,0.20,0.20,0.19,0.20,8043000
14-Jul-16,0.18,0.20,0.18,0.19,12458900
13-Jul-16,0.18,0.18,0.18,0.18,75100
12-Jul-16,0.18,0.19,0.18,0.19,2162500
11-Jul-16,0.20,0.20,0.18,0.18,674800
8-Jul-16,0.19,0.20,0.19,0.20,245800
5-Jul-16,0.20,0.20,0.19,0.20,205000
4-Jul-16,0.22,0.22,0.19,0.20,8576100
1-Jul-16,0.22,0.22,0.22,0.22,527500
30-Jun-16,0.22,0.23,0.22,0.22,1298100
29-Jun-16,0.23,0.23,0.22,0.23,1173000
28-Jun-16,0.24,0.24,0.23,0.24,4400000
27-Jun-16,0.23,0.23,0.23,0.23,25000
24-Jun-16,0.23,0.24,0.23,0.23,6093500
23-Jun-16,0.22,0.22,0.22,0.22,251600
21-Jun-16,0.22,0.23,0.22,0.23,216300
20-Jun-16,0.23,0.23,0.23,0.23,110000
17-Jun-16,0.23,0.24,0.22,0.23,4807000
16-Jun-16,0.23,0.23,0.22,0.23,337900
15-Jun-16,0.23,0.24,0.22,0.23,411000
14-Jun-16,0.23,0.24,0.23,0.23,199900
13-Jun-16,0.23,0.24,0.23,0.24,5430000
10-Jun-16,0.22,0.23,0.22,0.23,315000
9-Jun-16,0.22,0.23,0.22,0.23,150000
8-Jun-16,0.22,0.23,0.22,0.23,392700
7-Jun-16,0.22,0.23,0.22,0.23,296800
6-Jun-16,0.23,0.23,0.22,0.22,606900
3-Jun-16,0.24,0.24,0.23,0.23,141000
2-Jun-16,0.24,0.24,0.23,0.24,798700
1-Jun-16,0.24,0.24,0.22,0.24,376500
31-May-16,0.27,0.28,0.25,0.25,1445900
30-May-16,0.26,0.27,0.26,0.26,257500
27-May-16,0.26,0.26,0.26,0.26,510500
26-May-16,0.26,0.26,0.26,0.26,426000
25-May-16,0.26,0.26,0.26,0.26,445200
24-May-16,0.26,0.26,0.26,0.26,866800
23-May-16,0.27,0.27,0.26,0.27,307200
20-May-16,0.27,0.27,0.26,0.26,302400
19-May-16,0.28,0.28,0.27,0.27,820000
18-May-16,0.28,0.28,0.28,0.28,578400
17-May-16,0.28,0.28,0.28,0.28,169800
16-May-16,0.28,0.28,0.28,0.28,56000
13-May-16,0.28,0.28,0.28,0.28,535400
12-May-16,0.28,0.28,0.28,0.28,235500
11-May-16,0.28,0.28,0.28,0.28,358000
10-May-16,0.28,0.28,0.28,0.28,154900
9-May-16,0.28,0.28,0.28,0.28,445200
6-May-16,0.28,0.29,0.28,0.28,270100
5-May-16,0.29,0.29,0.28,0.29,283900
4-May-16,0.29,0.30,0.28,0.29,406000
3-May-16,0.29,0.30,0.29,0.30,526800
29-Apr-16,0.30,0.30,0.29,0.30,455500
28-Apr-16,0.30,0.30,0.28,0.30,689400
27-Apr-16,0.28,0.30,0.28,0.30,771300
26-Apr-16,0.28,0.29,0.28,0.28,940100
25-Apr-16,0.29,0.30,0.28,0.30,417800
