Date,Open,High,Low,Close,Volume
7-Oct-16,0.94,0.94,0.94,0.94,700
6-Oct-16,-,-,-,0.94,0
5-Oct-16,0.94,0.94,0.94,0.94,300
4-Oct-16,0.94,0.94,0.94,0.94,300
30-Sep-16,0.94,0.94,0.94,0.94,1100
29-Sep-16,-,-,-,0.94,0
28-Sep-16,-,-,-,0.94,0
27-Sep-16,-,-,-,0.94,0
26-Sep-16,0.94,0.94,0.94,0.94,100
23-Sep-16,0.94,0.94,0.94,0.94,500
22-Sep-16,-,-,-,0.94,0
21-Sep-16,0.94,0.94,0.94,0.94,600
20-Sep-16,-,-,-,0.94,0
19-Sep-16,0.94,0.94,0.94,0.94,1500
15-Sep-16,-,-,-,0.94,0
14-Sep-16,0.94,0.94,0.94,0.94,300
13-Sep-16,-,-,-,0.94,0
9-Sep-16,-,-,-,0.94,0
8-Sep-16,-,-,-,0.94,0
7-Sep-16,0.94,0.94,0.94,0.94,2200
6-Sep-16,0.94,0.94,0.94,0.94,300
5-Sep-16,0.94,0.94,0.94,0.94,300
2-Sep-16,-,-,-,0.94,0
1-Sep-16,0.94,0.94,0.94,0.94,200
30-Aug-16,-,-,-,0.94,0
29-Aug-16,-,-,-,0.94,0
26-Aug-16,-,-,-,0.94,0
25-Aug-16,-,-,-,0.94,0
24-Aug-16,-,-,-,0.94,0
23-Aug-16,0.94,0.94,0.94,0.94,300
22-Aug-16,0.98,0.99,0.94,0.94,11200
19-Aug-16,-,-,-,0.94,0
18-Aug-16,0.94,0.94,0.94,0.94,1000
17-Aug-16,-,-,-,0.94,0
16-Aug-16,-,-,-,0.94,0
15-Aug-16,0.94,0.94,0.94,0.94,3000
12-Aug-16,-,-,-,0.96,0
11-Aug-16,-,-,-,0.96,0
10-Aug-16,0.94,0.96,0.94,0.96,9400
9-Aug-16,-,-,-,0.94,0
8-Aug-16,-,-,-,0.94,0
5-Aug-16,-,-,-,0.94,0
4-Aug-16,-,-,-,0.94,0
3-Aug-16,-,-,-,0.94,0
2-Aug-16,-,-,-,0.94,0
1-Aug-16,-,-,-,0.94,0
29-Jul-16,-,-,-,0.94,0
28-Jul-16,-,-,-,0.94,0
27-Jul-16,0.92,0.94,0.92,0.94,2000
26-Jul-16,0.93,0.93,0.93,0.93,6100
25-Jul-16,-,-,-,0.93,0
