Date,Open,High,Low,Close,Volume
7-Oct-16,1.26,1.27,1.26,1.27,81800
6-Oct-16,1.27,1.27,1.27,1.27,87800
5-Oct-16,1.21,1.30,1.18,1.30,493000
4-Oct-16,1.22,1.23,1.22,1.22,327800
30-Sep-16,1.21,1.24,1.21,1.23,590100
29-Sep-16,1.30,1.30,1.27,1.27,212000
28-Sep-16,1.32,1.36,1.28,1.31,985300
27-Sep-16,1.34,1.34,1.25,1.32,229000
26-Sep-16,1.35,1.35,1.30,1.33,1209900
23-Sep-16,1.31,1.32,1.30,1.32,729700
22-Sep-16,1.30,1.36,1.30,1.32,1684200
21-Sep-16,1.31,1.32,1.24,1.30,783100
20-Sep-16,1.31,1.34,1.26,1.29,3035100
19-Sep-16,1.30,1.31,1.25,1.30,2787500
15-Sep-16,1.32,1.34,1.29,1.31,698600
14-Sep-16,1.31,1.32,1.27,1.28,2136300
13-Sep-16,1.23,1.32,1.23,1.30,2691200
9-Sep-16,1.23,1.23,1.21,1.21,299400
8-Sep-16,1.26,1.26,1.22,1.22,1366300
7-Sep-16,1.27,1.29,1.27,1.28,1129900
6-Sep-16,1.30,1.30,1.28,1.28,157000
5-Sep-16,1.33,1.33,1.27,1.29,1066500
2-Sep-16,1.19,1.33,1.19,1.33,1956900
1-Sep-16,1.18,1.20,1.17,1.19,1166000
30-Aug-16,1.18,1.19,1.15,1.19,292800
29-Aug-16,1.20,1.21,1.18,1.18,805100
26-Aug-16,1.10,1.19,1.10,1.18,961800
25-Aug-16,1.11,1.15,1.10,1.10,867700
24-Aug-16,1.15,1.15,1.10,1.11,1283900
23-Aug-16,1.16,1.16,1.14,1.16,949800
22-Aug-16,1.18,1.23,1.12,1.16,1477300
19-Aug-16,1.09,1.19,1.08,1.17,2169800
18-Aug-16,1.00,1.10,1.00,1.09,2330200
17-Aug-16,0.98,1.00,0.98,1.00,497900
16-Aug-16,0.99,1.00,0.98,1.00,397500
15-Aug-16,1.00,1.00,0.98,1.00,1166700
12-Aug-16,0.97,0.99,0.97,0.99,960500
11-Aug-16,0.98,0.98,0.96,0.98,881600
10-Aug-16,0.98,0.98,0.97,0.98,2494700
9-Aug-16,0.94,0.98,0.94,0.98,1644100
8-Aug-16,0.96,0.96,0.94,0.96,1920100
5-Aug-16,0.94,0.96,0.92,0.96,3395200
4-Aug-16,0.93,0.94,0.93,0.94,2926200
3-Aug-16,0.88,0.93,0.88,0.92,2620800
2-Aug-16,0.86,0.86,0.85,0.86,488000
1-Aug-16,0.80,0.86,0.80,0.86,2331000
29-Jul-16,0.80,0.82,0.76,0.82,2555100
28-Jul-16,0.80,0.80,0.79,0.80,645800
27-Jul-16,0.81,0.81,0.79,0.81,552800
26-Jul-16,0.81,0.81,0.80,0.81,3183000
25-Jul-16,0.79,0.82,0.79,0.80,6954900
22-Jul-16,0.74,0.78,0.74,0.78,3406400
21-Jul-16,0.76,0.76,0.72,0.74,1615700
20-Jul-16,0.76,0.76,0.72,0.73,2401600
19-Jul-16,0.76,0.77,0.75,0.76,2764000
18-Jul-16,0.74,0.78,0.74,0.76,4671600
15-Jul-16,0.66,0.74,0.66,0.72,3390100
14-Jul-16,0.61,0.66,0.61,0.65,1527800
13-Jul-16,0.64,0.66,0.60,0.60,2353100
12-Jul-16,0.65,0.66,0.64,0.64,934900
11-Jul-16,0.63,0.66,0.63,0.64,2107700
8-Jul-16,0.62,0.62,0.61,0.62,276000
5-Jul-16,0.62,0.62,0.60,0.60,77000
4-Jul-16,0.60,0.60,0.60,0.60,30000
1-Jul-16,0.61,0.62,0.61,0.61,637800
30-Jun-16,0.61,0.62,0.61,0.61,199000
29-Jun-16,0.60,0.62,0.60,0.61,235500
28-Jun-16,0.60,0.60,0.60,0.60,59000
27-Jun-16,0.60,0.60,0.58,0.60,278600
24-Jun-16,0.62,0.62,0.57,0.61,108500
23-Jun-16,0.61,0.62,0.61,0.62,80000
21-Jun-16,0.62,0.62,0.61,0.61,201300
20-Jun-16,0.62,0.63,0.60,0.62,144900
17-Jun-16,0.62,0.63,0.62,0.63,27000
16-Jun-16,0.63,0.63,0.62,0.62,121400
15-Jun-16,0.64,0.64,0.63,0.63,154300
