Date,Open,High,Low,Close,Volume
7-Oct-16,0.56,0.56,0.56,0.56,1000
6-Oct-16,0.55,0.55,0.55,0.55,2000
5-Oct-16,0.58,0.58,0.56,0.56,28000
4-Oct-16,0.54,0.58,0.54,0.58,95000
30-Sep-16,0.51,0.57,0.51,0.54,177500
29-Sep-16,0.50,0.50,0.50,0.50,36200
28-Sep-16,-,-,-,0.50,0
27-Sep-16,-,-,-,0.50,0
26-Sep-16,0.49,0.50,0.48,0.50,78000
23-Sep-16,0.50,0.50,0.50,0.50,10000
22-Sep-16,0.52,0.52,0.50,0.50,26000
21-Sep-16,0.51,0.52,0.50,0.52,127900
20-Sep-16,0.48,0.52,0.48,0.52,142000
19-Sep-16,0.47,0.47,0.47,0.47,51400
15-Sep-16,0.46,0.46,0.46,0.46,20000
14-Sep-16,0.45,0.45,0.45,0.45,10000
13-Sep-16,0.46,0.47,0.46,0.47,33100
9-Sep-16,0.46,0.46,0.46,0.46,30000
8-Sep-16,0.46,0.46,0.46,0.46,38400
7-Sep-16,0.46,0.46,0.46,0.46,20000
6-Sep-16,0.46,0.46,0.46,0.46,30000
5-Sep-16,-,-,-,0.46,0
2-Sep-16,0.46,0.46,0.46,0.46,200
1-Sep-16,0.45,0.46,0.45,0.46,5300
30-Aug-16,0.46,0.46,0.46,0.46,20100
29-Aug-16,0.46,0.46,0.46,0.46,30000
26-Aug-16,0.45,0.46,0.45,0.46,50000
25-Aug-16,-,-,-,0.45,0
24-Aug-16,0.48,0.48,0.45,0.45,50000
23-Aug-16,0.48,0.48,0.48,0.48,30100
22-Aug-16,-,-,-,0.46,0
19-Aug-16,0.46,0.46,0.46,0.46,106400
18-Aug-16,0.46,0.46,0.46,0.46,355600
17-Aug-16,0.46,0.46,0.46,0.46,20000
16-Aug-16,-,-,-,0.48,0
15-Aug-16,0.46,0.48,0.46,0.48,101000
12-Aug-16,0.46,0.46,0.46,0.46,26500
11-Aug-16,0.46,0.48,0.46,0.46,78000
