Date,Open,High,Low,Close,Volume
7-Oct-16,2.12,2.12,2.11,2.11,99400
6-Oct-16,2.16,2.16,2.12,2.13,51900
5-Oct-16,2.15,2.17,2.13,2.14,36200
4-Oct-16,2.24,2.24,2.16,2.16,111300
30-Sep-16,2.16,2.25,2.16,2.24,755000
29-Sep-16,2.12,2.18,2.12,2.17,741800
28-Sep-16,2.09,2.11,2.09,2.11,137500
27-Sep-16,2.08,2.11,2.08,2.09,37400
26-Sep-16,2.07,2.09,2.06,2.09,170600
23-Sep-16,2.07,2.07,2.04,2.04,332200
22-Sep-16,2.08,2.09,2.05,2.08,343200
21-Sep-16,2.09,2.09,2.07,2.07,296500
20-Sep-16,2.09,2.09,2.09,2.09,127000
19-Sep-16,2.10,2.10,2.09,2.10,133000
15-Sep-16,2.10,2.10,2.09,2.10,86300
14-Sep-16,2.09,2.10,2.09,2.10,24600
13-Sep-16,2.11,2.11,2.09,2.09,115700
9-Sep-16,2.10,2.13,2.10,2.11,178100
8-Sep-16,2.11,2.14,2.10,2.11,88100
7-Sep-16,2.10,2.14,2.10,2.14,350100
6-Sep-16,2.10,2.10,2.07,2.07,351500
5-Sep-16,2.13,2.13,2.07,2.07,514800
2-Sep-16,2.11,2.12,2.11,2.11,129900
1-Sep-16,2.11,2.11,2.11,2.11,31500
30-Aug-16,2.13,2.13,2.10,2.11,217400
29-Aug-16,2.18,2.18,2.12,2.13,162000
26-Aug-16,2.12,2.13,2.11,2.13,94500
25-Aug-16,2.14,2.14,2.13,2.13,87400
24-Aug-16,2.19,2.19,2.13,2.14,97700
23-Aug-16,2.17,2.17,2.13,2.14,76100
22-Aug-16,2.19,2.19,2.15,2.17,288400
19-Aug-16,2.19,2.21,2.17,2.20,184700
18-Aug-16,2.20,2.20,2.19,2.19,145400
17-Aug-16,2.19,2.20,2.18,2.18,113800
16-Aug-16,2.24,2.28,2.19,2.19,611700
15-Aug-16,2.15,2.17,2.14,2.14,178300
12-Aug-16,2.16,2.17,2.15,2.15,93200
11-Aug-16,2.17,2.17,2.16,2.16,72700
10-Aug-16,2.18,2.18,2.18,2.18,46500
9-Aug-16,2.19,2.20,2.18,2.18,60600
8-Aug-16,2.20,2.20,2.20,2.20,4000
5-Aug-16,2.20,2.20,2.20,2.20,5000
4-Aug-16,2.16,2.20,2.16,2.20,21000
3-Aug-16,2.16,2.24,2.16,2.24,8500
2-Aug-16,2.15,2.16,2.15,2.16,5000
1-Aug-16,2.16,2.16,2.15,2.16,34500
29-Jul-16,2.20,2.20,2.16,2.16,80000
28-Jul-16,2.21,2.21,2.18,2.19,44500
27-Jul-16,2.22,2.22,2.22,2.22,16900
26-Jul-16,2.22,2.22,2.22,2.22,16000
25-Jul-16,2.21,2.22,2.21,2.22,12000
22-Jul-16,2.20,2.21,2.20,2.21,17400
21-Jul-16,2.24,2.24,2.21,2.21,7800
20-Jul-16,-,-,-,2.24,0
19-Jul-16,2.25,2.25,2.24,2.24,13800
18-Jul-16,2.25,2.25,2.25,2.25,21000
15-Jul-16,2.28,2.28,2.25,2.25,18300
14-Jul-16,-,-,-,2.27,0
13-Jul-16,2.21,2.27,2.21,2.27,5200
12-Jul-16,2.23,2.27,2.23,2.27,69100
11-Jul-16,2.22,2.23,2.22,2.23,10500
8-Jul-16,2.24,2.26,2.21,2.21,76400
5-Jul-16,2.21,2.25,2.21,2.21,10400
4-Jul-16,2.21,2.21,2.20,2.20,6000
1-Jul-16,2.21,2.21,2.20,2.20,16700
30-Jun-16,2.21,2.21,2.20,2.21,52300
29-Jun-16,2.28,2.28,2.21,2.21,91000
28-Jun-16,2.22,2.22,2.19,2.20,62500
27-Jun-16,2.28,2.35,2.28,2.31,40700
24-Jun-16,2.29,2.29,2.25,2.26,72900
23-Jun-16,2.30,2.30,2.29,2.30,69200
21-Jun-16,2.30,2.30,2.29,2.30,57900
20-Jun-16,2.31,2.31,2.29,2.29,114800
17-Jun-16,2.32,2.33,2.31,2.31,243900
16-Jun-16,2.32,2.33,2.31,2.33,8000
15-Jun-16,2.31,2.31,2.31,2.31,7000
14-Jun-16,2.30,2.32,2.30,2.31,15400
13-Jun-16,2.31,2.32,2.31,2.32,35000
10-Jun-16,2.32,2.32,2.31,2.31,39900
9-Jun-16,2.33,2.33,2.31,2.32,35700
8-Jun-16,2.33,2.33,2.33,2.33,4000
7-Jun-16,2.31,2.32,2.31,2.32,52900
6-Jun-16,2.32,2.32,2.31,2.31,29000
3-Jun-16,2.31,2.32,2.31,2.31,20100
2-Jun-16,2.30,2.31,2.30,2.31,40300
1-Jun-16,2.28,2.30,2.28,2.30,16100
31-May-16,2.28,2.36,2.27,2.31,474100
30-May-16,2.28,2.30,2.26,2.26,56800
27-May-16,2.31,2.34,2.31,2.31,28900
26-May-16,2.29,2.32,2.28,2.32,15200
25-May-16,2.30,2.30,2.25,2.29,63200
24-May-16,2.30,2.32,2.30,2.31,27300
23-May-16,2.32,2.34,2.31,2.31,69100
20-May-16,2.31,2.31,2.29,2.29,27000
19-May-16,2.32,2.32,2.31,2.31,12100
18-May-16,2.29,2.31,2.28,2.30,63200
17-May-16,2.29,2.29,2.28,2.28,109500
16-May-16,2.31,2.31,2.27,2.29,70700
13-May-16,2.30,2.30,2.29,2.29,48000
12-May-16,2.32,2.32,2.30,2.31,23500
11-May-16,2.31,2.32,2.30,2.31,49100
10-May-16,2.31,2.34,2.30,2.30,55400
9-May-16,2.34,2.36,2.32,2.32,53000
6-May-16,2.33,2.36,2.33,2.35,23900
5-May-16,2.32,2.35,2.32,2.33,35600
4-May-16,2.29,2.32,2.29,2.32,6800
3-May-16,2.32,2.32,2.30,2.30,9600
29-Apr-16,2.31,2.32,2.29,2.32,64600
28-Apr-16,2.29,2.31,2.29,2.30,14500
27-Apr-16,2.30,2.32,2.29,2.32,22400
26-Apr-16,2.34,2.35,2.29,2.32,22600
25-Apr-16,2.32,2.38,2.32,2.34,18700
22-Apr-16,2.31,2.32,2.31,2.32,28900
21-Apr-16,2.30,2.31,2.29,2.31,22800
20-Apr-16,2.30,2.30,2.29,2.29,15500
19-Apr-16,2.29,2.32,2.29,2.29,39000
18-Apr-16,2.29,2.30,2.28,2.29,13100
15-Apr-16,2.29,2.29,2.28,2.28,43300
14-Apr-16,2.30,2.31,2.29,2.30,41500
13-Apr-16,2.29,2.30,2.29,2.29,43200
12-Apr-16,2.30,2.31,2.27,2.28,87000
11-Apr-16,2.33,2.33,2.30,2.30,18900
8-Apr-16,2.34,2.34,2.30,2.34,106900
7-Apr-16,2.35,2.38,2.34,2.34,56400
6-Apr-16,2.34,2.35,2.34,2.35,21100
5-Apr-16,2.33,2.36,2.33,2.36,27100
4-Apr-16,2.36,2.38,2.35,2.37,46100
1-Apr-16,2.38,2.39,2.34,2.36,54300
31-Mar-16,2.39,2.40,2.38,2.40,21100
30-Mar-16,2.37,2.39,2.37,2.39,42000
29-Mar-16,2.34,2.37,2.34,2.37,30100
28-Mar-16,2.35,2.37,2.35,2.37,30700
25-Mar-16,2.38,2.38,2.38,2.38,5700
24-Mar-16,2.38,2.39,2.37,2.39,16700
23-Mar-16,2.45,2.45,2.38,2.40,28600
22-Mar-16,2.38,2.44,2.36,2.44,60300
21-Mar-16,2.47,2.47,2.40,2.40,84300
18-Mar-16,2.42,2.50,2.42,2.47,477500
17-Mar-16,2.36,2.40,2.36,2.40,61300
16-Mar-16,2.35,2.35,2.34,2.35,111500
15-Mar-16,2.31,2.37,2.28,2.36,297000
14-Mar-16,2.34,2.34,2.28,2.28,60900
11-Mar-16,2.30,2.30,2.28,2.28,34500
10-Mar-16,2.27,2.32,2.27,2.31,172700
9-Mar-16,2.20,2.26,2.20,2.26,107400
8-Mar-16,2.26,2.26,2.18,2.20,262200
7-Mar-16,2.25,2.28,2.25,2.26,121900
4-Mar-16,2.30,2.30,2.24,2.30,323800
3-Mar-16,2.29,2.35,2.29,2.30,744700
2-Mar-16,2.42,2.42,2.26,2.29,1301200
1-Mar-16,2.40,2.45,2.38,2.42,217200
29-Feb-16,2.55,2.56,2.40,2.40,1028700
26-Feb-16,2.64,2.65,2.60,2.61,78000
25-Feb-16,2.65,2.68,2.63,2.66,89900
24-Feb-16,2.69,2.70,2.66,2.66,67500
23-Feb-16,2.75,2.81,2.69,2.69,380500
22-Feb-16,2.72,2.74,2.70,2.72,127700
19-Feb-16,2.70,2.75,2.70,2.75,63700
18-Feb-16,2.70,2.73,2.67,2.71,299300
17-Feb-16,2.77,2.77,2.71,2.71,61600
16-Feb-16,2.68,2.78,2.68,2.77,402800
15-Feb-16,2.65,2.68,2.64,2.66,44600
12-Feb-16,2.64,2.66,2.64,2.66,31400
11-Feb-16,2.74,2.74,2.68,2.69,35200
10-Feb-16,2.74,2.74,2.63,2.74,189600
5-Feb-16,2.71,2.75,2.69,2.74,334400
4-Feb-16,2.68,2.73,2.64,2.69,227000
3-Feb-16,2.50,2.70,2.50,2.70,255000
2-Feb-16,2.59,2.61,2.52,2.52,78500
29-Jan-16,2.50,2.58,2.47,2.55,144200
28-Jan-16,2.58,2.59,2.48,2.50,160500
27-Jan-16,2.64,2.65,2.54,2.57,174300
26-Jan-16,2.64,2.64,2.57,2.60,202900
22-Jan-16,2.68,2.72,2.62,2.70,247600
21-Jan-16,2.70,2.74,2.56,2.61,533600
20-Jan-16,2.85,2.85,2.70,2.73,501900
19-Jan-16,2.66,2.85,2.65,2.85,555900
18-Jan-16,2.72,2.73,2.60,2.65,719200
15-Jan-16,2.90,2.93,2.73,2.75,742900
14-Jan-16,2.78,2.86,2.71,2.85,562200
13-Jan-16,2.76,2.87,2.76,2.82,696200
12-Jan-16,2.51,2.76,2.51,2.73,2057800
11-Jan-16,2.51,2.52,2.49,2.50,66600
8-Jan-16,2.48,2.52,2.47,2.50,80900
7-Jan-16,2.52,2.53,2.46,2.47,206400
6-Jan-16,2.51,2.54,2.49,2.53,318500
5-Jan-16,2.45,2.54,2.45,2.49,353300
4-Jan-16,2.51,2.53,2.44,2.44,482600
31-Dec-15,2.45,2.55,2.45,2.48,557800
30-Dec-15,2.45,2.45,2.39,2.44,249200
29-Dec-15,2.51,2.51,2.43,2.48,254400
28-Dec-15,2.49,2.54,2.49,2.50,338300
23-Dec-15,2.47,2.51,2.47,2.50,73700
22-Dec-15,2.47,2.50,2.46,2.47,266600
21-Dec-15,2.47,2.47,2.45,2.46,49000
18-Dec-15,2.45,2.47,2.45,2.47,50600
17-Dec-15,2.42,2.48,2.42,2.47,120100
16-Dec-15,2.41,2.42,2.41,2.41,44000
15-Dec-15,2.39,2.42,2.39,2.41,47200
14-Dec-15,2.41,2.42,2.38,2.39,233300
11-Dec-15,2.47,2.47,2.45,2.45,99400
10-Dec-15,2.53,2.55,2.47,2.47,239000
9-Dec-15,2.51,2.57,2.50,2.50,203900
8-Dec-15,2.52,2.52,2.50,2.51,151400
7-Dec-15,2.46,2.54,2.45,2.52,455300
4-Dec-15,2.50,2.51,2.46,2.47,123000
3-Dec-15,2.49,2.50,2.47,2.50,75700
2-Dec-15,2.50,2.52,2.48,2.50,195400
1-Dec-15,2.47,2.51,2.45,2.50,213100
30-Nov-15,2.51,2.51,2.46,2.49,140700
27-Nov-15,2.57,2.57,2.52,2.54,218200
26-Nov-15,2.53,2.57,2.53,2.57,252900
25-Nov-15,2.70,2.70,2.53,2.53,1856800
24-Nov-15,2.51,2.53,2.48,2.48,229400
23-Nov-15,2.45,2.54,2.42,2.53,670500
20-Nov-15,2.39,2.45,2.36,2.42,184300
19-Nov-15,2.42,2.43,2.35,2.39,156600
18-Nov-15,2.43,2.43,2.37,2.37,251700
17-Nov-15,2.39,2.45,2.39,2.43,127200
16-Nov-15,2.37,2.45,2.37,2.42,260600
13-Nov-15,2.41,2.41,2.33,2.39,3225900
12-Nov-15,2.50,2.54,2.43,2.44,1079000
11-Nov-15,2.53,2.58,2.50,2.51,220000
9-Nov-15,2.57,2.57,2.51,2.53,315100
6-Nov-15,2.58,2.60,2.54,2.60,397200
5-Nov-15,2.68,2.69,2.58,2.64,596700
4-Nov-15,2.58,2.77,2.58,2.67,1627300
3-Nov-15,2.55,2.59,2.55,2.57,88200
2-Nov-15,2.54,2.59,2.53,2.55,16100
30-Oct-15,2.56,2.56,2.54,2.54,36900
29-Oct-15,2.56,2.57,2.55,2.56,123200
28-Oct-15,2.56,2.56,2.55,2.55,47000
27-Oct-15,2.61,2.62,2.53,2.54,114700
26-Oct-15,2.54,2.58,2.54,2.58,250100
23-Oct-15,2.50,2.51,2.46,2.48,65000
22-Oct-15,2.55,2.63,2.50,2.50,179000
21-Oct-15,2.42,2.55,2.42,2.55,292900
20-Oct-15,2.43,2.45,2.40,2.40,135700
19-Oct-15,2.46,2.46,2.40,2.40,391800
16-Oct-15,2.48,2.48,2.45,2.48,178500
15-Oct-15,2.57,2.57,2.47,2.48,117000
13-Oct-15,2.50,2.52,2.49,2.50,22100
12-Oct-15,2.49,2.50,2.48,2.50,63400
