Date,Open,High,Low,Close,Volume
7-Oct-16,1.60,1.61,1.59,1.61,2710900
6-Oct-16,1.60,1.61,1.59,1.61,3263200
5-Oct-16,1.60,1.61,1.59,1.60,4018400
4-Oct-16,1.61,1.61,1.59,1.61,3453100
30-Sep-16,1.61,1.61,1.59,1.60,4534900
29-Sep-16,1.61,1.61,1.59,1.60,3270000
28-Sep-16,1.62,1.62,1.60,1.61,1769200
27-Sep-16,1.60,1.62,1.59,1.62,4028100
26-Sep-16,1.61,1.61,1.60,1.61,1253700
23-Sep-16,1.60,1.61,1.59,1.61,2922200
22-Sep-16,1.58,1.60,1.57,1.60,5331700
21-Sep-16,1.58,1.59,1.57,1.58,2217000
20-Sep-16,1.58,1.59,1.57,1.58,2155400
19-Sep-16,1.60,1.60,1.58,1.58,2536900
15-Sep-16,1.59,1.61,1.59,1.60,8489800
14-Sep-16,1.56,1.61,1.55,1.59,10735700
13-Sep-16,1.54,1.57,1.53,1.56,5444800
9-Sep-16,1.53,1.54,1.53,1.53,1850000
8-Sep-16,1.54,1.54,1.53,1.53,1532900
7-Sep-16,1.53,1.54,1.53,1.53,597000
6-Sep-16,1.52,1.54,1.52,1.53,2522700
5-Sep-16,1.52,1.53,1.51,1.52,3108700
2-Sep-16,1.51,1.52,1.51,1.52,1166500
1-Sep-16,1.50,1.51,1.49,1.51,3903300
30-Aug-16,1.53,1.53,1.49,1.49,5218100
29-Aug-16,1.52,1.53,1.52,1.53,2009000
26-Aug-16,1.51,1.53,1.51,1.52,6397400
25-Aug-16,1.47,1.49,1.46,1.49,2287800
24-Aug-16,1.48,1.48,1.46,1.48,813500
23-Aug-16,1.47,1.48,1.46,1.48,634500
22-Aug-16,1.47,1.48,1.46,1.47,1034500
19-Aug-16,1.47,1.48,1.45,1.47,882500
18-Aug-16,1.46,1.48,1.45,1.48,1154100
17-Aug-16,1.47,1.47,1.46,1.46,520400
16-Aug-16,1.46,1.48,1.45,1.48,2482000
15-Aug-16,1.46,1.47,1.45,1.47,951100
12-Aug-16,1.45,1.46,1.43,1.46,1429000
11-Aug-16,1.44,1.45,1.43,1.44,1692000
10-Aug-16,1.43,1.44,1.43,1.44,1304300
9-Aug-16,1.41,1.44,1.41,1.44,2720400
8-Aug-16,1.40,1.41,1.39,1.41,1190600
5-Aug-16,1.41,1.42,1.39,1.40,5327400
4-Aug-16,1.41,1.42,1.40,1.41,1520400
3-Aug-16,1.42,1.42,1.39,1.40,4028600
2-Aug-16,1.42,1.42,1.41,1.42,1252100
1-Aug-16,1.43,1.43,1.41,1.42,2805100
29-Jul-16,1.44,1.44,1.42,1.43,2198800
28-Jul-16,1.43,1.44,1.42,1.44,1305400
27-Jul-16,1.42,1.43,1.42,1.43,642300
26-Jul-16,1.43,1.43,1.42,1.43,206900
25-Jul-16,1.42,1.43,1.42,1.43,1152000
22-Jul-16,1.42,1.43,1.41,1.42,4844600
21-Jul-16,1.43,1.45,1.43,1.44,1464700
20-Jul-16,1.45,1.45,1.43,1.45,701200
19-Jul-16,1.42,1.45,1.41,1.45,3038000
18-Jul-16,1.44,1.44,1.41,1.42,2495200
15-Jul-16,1.45,1.46,1.43,1.44,2289400
14-Jul-16,1.42,1.45,1.41,1.45,4170300
13-Jul-16,1.42,1.43,1.40,1.43,2126000
12-Jul-16,1.41,1.42,1.40,1.42,1179400
11-Jul-16,1.42,1.42,1.40,1.40,2521100
8-Jul-16,1.41,1.43,1.40,1.41,2096800
5-Jul-16,1.41,1.43,1.41,1.43,562100
4-Jul-16,1.40,1.42,1.40,1.40,429600
1-Jul-16,1.41,1.42,1.40,1.40,864200
30-Jun-16,1.42,1.43,1.40,1.41,2550900
