Date,Open,High,Low,Close,Volume
7-Oct-16,0.59,0.60,0.59,0.60,126100
6-Oct-16,0.60,0.60,0.60,0.60,229500
5-Oct-16,0.60,0.61,0.60,0.60,46000
4-Oct-16,0.61,0.62,0.60,0.60,95400
30-Sep-16,0.62,0.64,0.60,0.61,1497800
29-Sep-16,0.58,0.61,0.58,0.61,646700
28-Sep-16,0.58,0.58,0.57,0.58,69600
27-Sep-16,-,-,-,0.58,0
26-Sep-16,0.58,0.58,0.58,0.58,61200
23-Sep-16,0.58,0.58,0.58,0.58,110400
22-Sep-16,0.58,0.58,0.58,0.58,51000
21-Sep-16,0.58,0.58,0.58,0.58,73500
20-Sep-16,0.58,0.58,0.58,0.58,42000
19-Sep-16,0.58,0.59,0.58,0.59,20100
15-Sep-16,0.58,0.58,0.58,0.58,24000
14-Sep-16,0.58,0.58,0.58,0.58,24100
13-Sep-16,0.58,0.58,0.58,0.58,23000
9-Sep-16,0.58,0.58,0.58,0.58,18000
8-Sep-16,-,-,-,0.58,0
7-Sep-16,0.58,0.58,0.58,0.58,33700
6-Sep-16,0.59,0.60,0.58,0.59,89000
5-Sep-16,0.60,0.60,0.58,0.58,133700
2-Sep-16,0.60,0.60,0.59,0.59,148300
1-Sep-16,0.60,0.61,0.60,0.60,360800
30-Aug-16,0.62,0.62,0.61,0.61,463000
29-Aug-16,0.62,0.64,0.62,0.62,2421900
26-Aug-16,0.60,0.60,0.60,0.60,116500
25-Aug-16,0.60,0.60,0.60,0.60,84000
24-Aug-16,0.60,0.62,0.60,0.62,108000
23-Aug-16,0.60,0.60,0.60,0.60,32000
22-Aug-16,0.60,0.60,0.60,0.60,15000
19-Aug-16,0.60,0.60,0.60,0.60,175000
18-Aug-16,0.59,0.60,0.59,0.60,156000
17-Aug-16,0.59,0.60,0.59,0.60,308100
16-Aug-16,0.60,0.60,0.59,0.60,105000
15-Aug-16,0.60,0.60,0.59,0.60,238700
12-Aug-16,0.60,0.60,0.59,0.60,346100
11-Aug-16,0.60,0.60,0.59,0.59,102000
10-Aug-16,0.59,0.59,0.59,0.59,5000
9-Aug-16,0.61,0.61,0.60,0.60,242000
8-Aug-16,0.61,0.61,0.60,0.60,42700
5-Aug-16,0.60,0.61,0.60,0.61,21500
4-Aug-16,0.61,0.61,0.61,0.61,5000
3-Aug-16,-,-,-,0.60,0
2-Aug-16,0.60,0.60,0.60,0.60,40000
1-Aug-16,0.58,0.58,0.58,0.58,5000
29-Jul-16,0.58,0.59,0.58,0.58,31100
28-Jul-16,0.60,0.60,0.60,0.60,74800
27-Jul-16,0.58,0.61,0.58,0.61,17500
26-Jul-16,0.58,0.58,0.58,0.58,7900
25-Jul-16,0.60,0.60,0.60,0.60,19000
22-Jul-16,0.60,0.61,0.60,0.60,152000
21-Jul-16,0.62,0.62,0.60,0.62,83900
20-Jul-16,0.60,0.63,0.58,0.62,305200
19-Jul-16,0.60,0.60,0.59,0.59,33000
18-Jul-16,0.56,0.56,0.56,0.56,40000
15-Jul-16,0.56,0.56,0.56,0.56,5000
14-Jul-16,0.62,0.62,0.59,0.60,4600
13-Jul-16,0.58,0.60,0.58,0.60,5200
12-Jul-16,0.56,0.58,0.55,0.58,132500
11-Jul-16,0.60,0.60,0.55,0.58,314600
8-Jul-16,0.60,0.60,0.60,0.60,10000
5-Jul-16,0.62,0.62,0.62,0.62,84000
4-Jul-16,-,-,-,0.63,0
1-Jul-16,0.62,0.64,0.62,0.63,118000
30-Jun-16,0.63,0.63,0.63,0.63,38000
29-Jun-16,0.64,0.64,0.63,0.63,147000
28-Jun-16,-,-,-,0.64,0
27-Jun-16,0.65,0.65,0.64,0.64,348000
24-Jun-16,0.65,0.65,0.64,0.64,87500
23-Jun-16,-,-,-,0.66,0
21-Jun-16,0.66,0.66,0.66,0.66,40000
20-Jun-16,0.66,0.66,0.66,0.66,636000
